,Month,Overall AQI Value,Pollutant,Borough
0,01,46.87096774193548,PM2.5,Queens
1,02,39.86206896551724,PM2.5,Queens
2,03,43.61290322580645,Ozone,Queens
3,04,41.833333333333336,Ozone,Queens
4,05,48.096774193548384,Ozone,Queens
5,06,51.333333333333336,Ozone,Queens
6,07,58.25806451612903,Ozone,Queens
7,08,46.645161290322584,Ozone,Queens
8,09,38.36666666666667,Ozone,Queens
9,10,33.70967741935484,NO2,Queens
10,11,40.06666666666667,PM2.5,Queens
11,12,38.96774193548387,PM2.5,Queens
12,01,46.87096774193548,PM2.5,Bronx
13,02,39.86206896551724,PM2.5,Bronx
14,03,43.61290322580645,Ozone,Bronx
15,04,41.833333333333336,Ozone,Bronx
16,05,48.096774193548384,Ozone,Bronx
17,06,51.333333333333336,Ozone,Bronx
18,07,58.25806451612903,Ozone,Bronx
19,08,46.645161290322584,Ozone,Bronx
20,09,38.36666666666667,Ozone,Bronx
21,10,33.70967741935484,NO2,Bronx
22,11,40.06666666666667,PM2.5,Bronx
23,12,38.96774193548387,PM2.5,Bronx
24,01,42.54838709677419,PM2.5,Kings
25,02,33.724137931034484,PM2.5,Kings
26,03,31.161290322580644,PM2.5,Kings
27,04,24.3,PM2.5,Kings
28,05,26.322580645161292,PM2.5,Kings
29,06,28.7,PM2.5,Kings
30,07,30.677419354838708,PM2.5,Kings
31,08,27.677419354838708,PM2.5,Kings
32,09,22.433333333333334,PM2.5,Kings
33,10,24.93548387096774,PM2.5,Kings
34,11,32.2,PM2.5,Kings
35,12,35.96774193548387,PM2.5,Kings
36,01,57.38709677419355,PM2.5,Manhattan
37,02,49.827586206896555,PM2.5,Manhattan
38,03,43.32258064516129,PM2.5,Manhattan
39,04,40.06666666666667,Ozone,Manhattan
40,05,46.225806451612904,Ozone,Manhattan
41,06,50.4,Ozone,Manhattan
42,07,58.25806451612903,Ozone,Manhattan
43,08,45.064516129032256,Ozone,Manhattan
44,09,37.733333333333334,Ozone,Manhattan
45,10,35.193548387096776,PM2.5,Manhattan
46,11,39.833333333333336,PM2.5,Manhattan
47,12,46.064516129032256,PM2.5,Manhattan
